size,simple,cr,ldg,texture
0,22.145,364.294,364.042,400.696
1,21.7399,364.294,364.105,400.467
1,30.0045,364.168,364.105,400.619
2,35.6204,364.105,363.979,400.467
3,47.2445,364.168,364.105,400.543
4,57.2594,364.042,363.852,400.39
6,83.5686,364.105,363.979,400.39
8,106.419,363.979,363.664,400.314
12,81.9711,364.105,363.789,400.39
16,107.343,364.042,363.915,400.314
24,108.2,363.979,363.538,400.009
32,108.963,169.006,168.585,168.653
48,109.68,131.897,132.104,131.781
64,109.961,124.4,122.758,124.261
96,110.709,119.709,119.675,119.227
128,111.236,117.31,117.895,117.671
192,111.042,115.758,115.682,115.567
256,111.632,115.017,115.143,114.954
384,111.596,114.298,114.236,113.593
512,111.389,113.599,113.63,113.569
768,111.715,113.44,113.415,113.33
1024,111.484,112.928,112.94,112.922
1536,111.573,111.301,111.265,111.254
2048,106.07,104.462,104.389,104.146
3072,21.6004,19.6226,19.6329,19.6038
4096,13.318,11.9017,11.8935,11.8849
6144,9.05765,8.06179,8.09265,8.19309
8192,7.74377,7.71145,7.71695,7.70444
12288,6.79338,6.77597,6.6018,6.5888
16384,5.88714,5.79468,5.59797,5.57354
24576,6.00338,5.54305,5.38497,5.99844
32768,5.84789,5.84484,5.68459,5.84175
49152,5.69106,5.68983,5.6877,5.68693
